orderID,freight,orderDate,requiredDate,shippedDate,shipName,shipCountry,shipRegion,shipCity,shipPostalCode,shipAddress
10248,32.38,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,Vins et alcools Chevalier,France,NULL,Reims,51100,59 rue de l'Abbaye
10249,11.61,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,Toms Spezialitäten,Germany,NULL,Münster,44087,Luisenstr. 48
10250,65.83,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,Hanari Carnes,05454-876,Rio de Janeiro," 67",RJ,Rua do Paço
10251,41.34,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,Victuailles en stock,69004,Lyon," rue du Commerce",NULL,2
10252,51.30,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,1996-07-11 00:00:00.000,Suprêmes délices,B-6000,Charleroi," 255",NULL,Boulevard Tirou
10253,58.17,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,1996-07-16 00:00:00.000,Hanari Carnes,05454-876,Rio de Janeiro," 67",RJ,Rua do Paço
10254,22.98,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,1996-07-23 00:00:00.000,Chop-suey Chinese,Switzerland,NULL,Bern,3012,Hauptstr. 31
10255,148.33,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,Richter Supermarkt,Switzerland,NULL,Genève,1204,Starenweg 5
10256,13.97,1996-07-15 00:00:00.000,1996-08-12 00:00:00.000,1996-07-17 00:00:00.000,Wellington Importadora,08737-363,Resende," 12",SP,Rua do Mercado
10257,81.91,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,1996-07-22 00:00:00.000,HILARION-Abastos,Venezuela,Táchira,San Cristóbal,5022,Carrera 22 con Ave. Carlos Soublette #8-35
10258,140.51,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1996-07-23 00:00:00.000,Ernst Handel,Austria,NULL,Graz,8010,Kirchgasse 6
